38.15,61,35.43,37,26,0,0,0,0,0,0,0,0,0
45.82,61.6,8.46,37,0,0,26,0,0,0,0,0,0,0
51.73,62.43,3.8,9,0,0,17,0,0,0,0,0,0,0
51.85,61.85,2.29,9,0,0,19,0,0,0,0,0,0,0
52.81,61.7,1.29,9,0,0,21,0,0,0,0,0,0,0
53.52,61.07,-0.01,9,0,0,23,0,0,0,0,0,0,0
54.77,60.93,-1.06,9,0,0,25,0,0,0,0,0,0,0
55.04,60.24,-1.93,9,0,0,27,0,0,0,0,0,0,0
55.94,59.86,-2.78,9,0,0,29,0,0,0,0,0,0,0
56.47,59.26,-3.55,9,0,0,31,0,0,0,0,0,0,0
57.22,58.78,-4.13,9,0,0,33,0,0,0,0,0,0,0
57.72,58.37,-4.6,9,0,0,35,0,0,0,0,0,0,0
58.42,57.89,-5.07,9,0,0,37,0,0,0,0,0,0,0
58.67,57.54,-5.61,9,0,0,39,0,0,0,0,0,0,0
59.27,57.13,-5.88,9,0,0,41,0,0,0,0,0,0,0
59.71,56.7,-6.28,9,0,0,43,0,0,0,0,0,0,0
34.89,43.4,-63.25,0,0,0,0,0,0,22,0,0,0,0
34.88,41.37,-63.82,0,0,0,0,0,0,22,0,0,0,0
35.31,41.53,-64.13,0,0,0,0,0,0,22,0,0,0,0
38.13,30.12,-62.97,0,0,0,0,0,0,22,0,0,0,0
29.51,32.51,-47.56,1,0,0,0,0,0,22,0,0,0,0
26.29,31.71,-35.85,2,0,0,0,0,0,22,0,0,0,0
26.73,18.16,-46.86,0,2,0,0,0,0,22,0,0,0,0
26.44,24.96,-49.47,0,0,0,0,0,0,22,2,0,0,0
36.3,38.03,-63.73,0,0,0,2,0,0,22,0,0,0,0
24.6,29.71,-24.23,3,0,0,0,0,0,22,0,0,0,0
24.85,30.38,-19,4,0,0,0,0,0,22,0,0,0,0
21.28,13.66,-32.63,0,0,0,0,0,0,22,4,0,0,0
25.98,4.41,-35.02,0,4,0,0,0,0,22,0,0,0,0
37.21,35.17,-61.99,0,0,0,4,0,0,22,0,0,0,0
24.59,27.54,-14.57,5,0,0,0,0,0,22,0,0,0,0
20.56,-4.16,-17.34,0,6,0,0,0,0,22,0,0,0,0
18.94,7.68,-21.2,0,0,0,0,0,0,22,6,0,0,0
23.99,25.25,-6.39,6,0,0,0,0,0,22,0,0,0,0
